fixture,cut_threshold,path_label,cluster_id,cluster_members
schwarzschild,0.05,F1,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.05,F2,2,F2 P_sign_b
schwarzschild,0.05,F3,3,F3 P_diff_squares P_factor_b
schwarzschild,0.05,F4,4,F4
schwarzschild,0.05,P_compound_split,5,P_compound_split P_sign_c
schwarzschild,0.05,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.05,P_diff_squares,3,F3 P_diff_squares P_factor_b
schwarzschild,0.05,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.05,P_distrib_sqrt_mul,6,P_distrib_sqrt_mul
schwarzschild,0.05,P_factor_b,3,F3 P_diff_squares P_factor_b
schwarzschild,0.05,P_scaled_2,7,P_scaled_2
schwarzschild,0.05,P_scaled_half,8,P_scaled_half
schwarzschild,0.05,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.05,P_sign_b,2,F2 P_sign_b
schwarzschild,0.05,P_sign_c,5,P_compound_split P_sign_c
schwarzschild,0.1,F1,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.1,F2,2,F2 P_sign_b
schwarzschild,0.1,F3,3,F3 P_diff_squares P_factor_b
schwarzschild,0.1,F4,4,F4
schwarzschild,0.1,P_compound_split,5,P_compound_split P_sign_c
schwarzschild,0.1,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.1,P_diff_squares,3,F3 P_diff_squares P_factor_b
schwarzschild,0.1,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.1,P_distrib_sqrt_mul,6,P_distrib_sqrt_mul
schwarzschild,0.1,P_factor_b,3,F3 P_diff_squares P_factor_b
schwarzschild,0.1,P_scaled_2,7,P_scaled_2
schwarzschild,0.1,P_scaled_half,8,P_scaled_half
schwarzschild,0.1,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.1,P_sign_b,2,F2 P_sign_b
schwarzschild,0.1,P_sign_c,5,P_compound_split P_sign_c
schwarzschild,0.15,F1,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.15,F2,2,F2 P_sign_b
schwarzschild,0.15,F3,3,F3 P_diff_squares P_factor_b
schwarzschild,0.15,F4,4,F4
schwarzschild,0.15,P_compound_split,5,P_compound_split P_sign_c
schwarzschild,0.15,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.15,P_diff_squares,3,F3 P_diff_squares P_factor_b
schwarzschild,0.15,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.15,P_distrib_sqrt_mul,6,P_distrib_sqrt_mul
schwarzschild,0.15,P_factor_b,3,F3 P_diff_squares P_factor_b
schwarzschild,0.15,P_scaled_2,7,P_scaled_2 P_scaled_half
schwarzschild,0.15,P_scaled_half,7,P_scaled_2 P_scaled_half
schwarzschild,0.15,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_sign_a
schwarzschild,0.15,P_sign_b,2,F2 P_sign_b
schwarzschild,0.15,P_sign_c,5,P_compound_split P_sign_c
schwarzschild,0.2,F1,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
schwarzschild,0.2,F2,2,F2 P_sign_b
schwarzschild,0.2,F3,3,F3 P_diff_squares P_factor_b
schwarzschild,0.2,F4,4,F4
schwarzschild,0.2,P_compound_split,5,P_compound_split P_sign_c
schwarzschild,0.2,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
schwarzschild,0.2,P_diff_squares,3,F3 P_diff_squares P_factor_b
schwarzschild,0.2,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
schwarzschild,0.2,P_distrib_sqrt_mul,6,P_distrib_sqrt_mul
schwarzschild,0.2,P_factor_b,3,F3 P_diff_squares P_factor_b
schwarzschild,0.2,P_scaled_2,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
schwarzschild,0.2,P_scaled_half,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
schwarzschild,0.2,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
schwarzschild,0.2,P_sign_b,2,F2 P_sign_b
schwarzschild,0.2,P_sign_c,5,P_compound_split P_sign_c
sr,0.05,F1,1,F1
sr,0.05,F2,2,F2 P_sign_b
sr,0.05,F3,3,F3 P_diff_squares P_factor_b
sr,0.05,F4,4,F4
sr,0.05,P_compound_split,5,P_compound_split P_sign_c
sr,0.05,P_compound_zero,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.05,P_diff_squares,3,F3 P_diff_squares P_factor_b
sr,0.05,P_distrib_mul,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.05,P_distrib_sqrt_mul,7,P_distrib_sqrt_mul
sr,0.05,P_factor_b,3,F3 P_diff_squares P_factor_b
sr,0.05,P_scaled_2,8,P_scaled_2
sr,0.05,P_scaled_half,9,P_scaled_half
sr,0.05,P_sign_a,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.05,P_sign_b,2,F2 P_sign_b
sr,0.05,P_sign_c,5,P_compound_split P_sign_c
sr,0.1,F1,1,F1
sr,0.1,F2,2,F2 P_sign_b
sr,0.1,F3,3,F3 P_diff_squares P_factor_b
sr,0.1,F4,4,F4
sr,0.1,P_compound_split,5,P_compound_split P_sign_c
sr,0.1,P_compound_zero,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.1,P_diff_squares,3,F3 P_diff_squares P_factor_b
sr,0.1,P_distrib_mul,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.1,P_distrib_sqrt_mul,7,P_distrib_sqrt_mul
sr,0.1,P_factor_b,3,F3 P_diff_squares P_factor_b
sr,0.1,P_scaled_2,8,P_scaled_2
sr,0.1,P_scaled_half,9,P_scaled_half
sr,0.1,P_sign_a,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.1,P_sign_b,2,F2 P_sign_b
sr,0.1,P_sign_c,5,P_compound_split P_sign_c
sr,0.15,F1,1,F1
sr,0.15,F2,2,F2 P_sign_b
sr,0.15,F3,3,F3 P_diff_squares P_factor_b
sr,0.15,F4,4,F4
sr,0.15,P_compound_split,5,P_compound_split P_sign_c
sr,0.15,P_compound_zero,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.15,P_diff_squares,3,F3 P_diff_squares P_factor_b
sr,0.15,P_distrib_mul,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.15,P_distrib_sqrt_mul,7,P_distrib_sqrt_mul
sr,0.15,P_factor_b,3,F3 P_diff_squares P_factor_b
sr,0.15,P_scaled_2,8,P_scaled_2
sr,0.15,P_scaled_half,9,P_scaled_half
sr,0.15,P_sign_a,6,P_compound_zero P_distrib_mul P_sign_a
sr,0.15,P_sign_b,2,F2 P_sign_b
sr,0.15,P_sign_c,5,P_compound_split P_sign_c
sr,0.2,F1,1,F1
sr,0.2,F2,2,F2 P_sign_b
sr,0.2,F3,3,F3 P_diff_squares P_factor_b
sr,0.2,F4,4,F4
sr,0.2,P_compound_split,5,P_compound_split P_sign_c
sr,0.2,P_compound_zero,6,P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
sr,0.2,P_diff_squares,3,F3 P_diff_squares P_factor_b
sr,0.2,P_distrib_mul,6,P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
sr,0.2,P_distrib_sqrt_mul,7,P_distrib_sqrt_mul
sr,0.2,P_factor_b,3,F3 P_diff_squares P_factor_b
sr,0.2,P_scaled_2,6,P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
sr,0.2,P_scaled_half,6,P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
sr,0.2,P_sign_a,6,P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
sr,0.2,P_sign_b,2,F2 P_sign_b
sr,0.2,P_sign_c,5,P_compound_split P_sign_c
pure_algebraic,0.05,F1,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.05,F2,2,F2 P_sign_b
pure_algebraic,0.05,F3,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.05,F4,4,F4
pure_algebraic,0.05,P_compound_split,5,P_compound_split P_sign_c
pure_algebraic,0.05,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.05,P_diff_squares,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.05,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.05,P_distrib_sqrt_mul,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.05,P_factor_b,6,P_factor_b
pure_algebraic,0.05,P_scaled_2,7,P_scaled_2
pure_algebraic,0.05,P_scaled_half,8,P_scaled_half
pure_algebraic,0.05,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.05,P_sign_b,2,F2 P_sign_b
pure_algebraic,0.05,P_sign_c,5,P_compound_split P_sign_c
pure_algebraic,0.1,F1,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.1,F2,2,F2 P_sign_b
pure_algebraic,0.1,F3,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.1,F4,4,F4
pure_algebraic,0.1,P_compound_split,5,P_compound_split P_sign_c
pure_algebraic,0.1,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.1,P_diff_squares,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.1,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.1,P_distrib_sqrt_mul,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.1,P_factor_b,6,P_factor_b
pure_algebraic,0.1,P_scaled_2,7,P_scaled_2
pure_algebraic,0.1,P_scaled_half,8,P_scaled_half
pure_algebraic,0.1,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.1,P_sign_b,2,F2 P_sign_b
pure_algebraic,0.1,P_sign_c,5,P_compound_split P_sign_c
pure_algebraic,0.15,F1,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.15,F2,2,F2 P_sign_b
pure_algebraic,0.15,F3,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.15,F4,4,F4
pure_algebraic,0.15,P_compound_split,5,P_compound_split P_sign_c
pure_algebraic,0.15,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.15,P_diff_squares,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.15,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.15,P_distrib_sqrt_mul,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.15,P_factor_b,6,P_factor_b
pure_algebraic,0.15,P_scaled_2,7,P_scaled_2
pure_algebraic,0.15,P_scaled_half,8,P_scaled_half
pure_algebraic,0.15,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_sign_a
pure_algebraic,0.15,P_sign_b,2,F2 P_sign_b
pure_algebraic,0.15,P_sign_c,5,P_compound_split P_sign_c
pure_algebraic,0.2,F1,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,F2,2,F2 P_sign_b
pure_algebraic,0.2,F3,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.2,F4,4,F4
pure_algebraic,0.2,P_compound_split,5,P_compound_split P_sign_c
pure_algebraic,0.2,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_diff_squares,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.2,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_distrib_sqrt_mul,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.2,P_factor_b,6,P_factor_b
pure_algebraic,0.2,P_scaled_2,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_scaled_half,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_sign_b,2,F2 P_sign_b
pure_algebraic,0.2,P_sign_c,5,P_compound_split P_sign_c
